Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-11-20,1542.0,1548.0,1528.6,1545.6,468848,721033059.6,NVTK,MOEX,1545.6,0,0
2023-11-21,1545.6,1546.0,1530.0,1539.0,410802,631388014.8,NVTK,MOEX,1539.0,0,0
2023-11-22,1539.8,1546.6,1515.8,1525.8,790317,1208289794.0,NVTK,MOEX,1525.8,0,0
2023-11-23,1525.0,1525.0,1510.8,1511.2,463425,702788127.6,NVTK,MOEX,1511.2,0,0
2023-11-24,1511.2,1531.8,1501.0,1514.0,661724,1004199489.2,NVTK,MOEX,1514.0,0,0
2023-11-27,1514.2,1522.0,1503.0,1510.4,472771,715888761.4,NVTK,MOEX,1510.4,0,0
2023-11-28,1510.6,1518.0,1482.0,1509.2,596731,899075285.6,NVTK,MOEX,1509.2,0,0
2023-11-29,1510.0,1512.0,1490.0,1493.6,391250,587913445.6,NVTK,MOEX,1493.6,0,0
2023-11-30,1495.0,1523.0,1482.2,1510.0,531785,798627248.0,NVTK,MOEX,1510.0,0,0
2023-12-01,1511.0,1521.0,1493.6,1500.0,500255,753743019.2,NVTK,MOEX,1500.0,0,0
2023-12-04,1497.0,1518.0,1490.0,1505.4,501324,754350697.6,NVTK,MOEX,1505.4,0,0
2023-12-05,1508.4,1549.0,1508.4,1542.4,990731,1516391915.4,NVTK,MOEX,1542.4,0,0
2023-12-06,1547.8,1549.8,1495.0,1505.8,964477,1475111264.4,NVTK,MOEX,1505.8,0,0
2023-12-07,1508.8,1527.6,1505.8,1515.2,594392,901720531.0,NVTK,MOEX,1515.2,0,0
2023-12-08,1514.0,1542.0,1514.0,1531.4,380355,581293172.4,NVTK,MOEX,1531.4,0,0
2023-12-11,1536.0,1542.0,1475.2,1491.0,728038,1095864790.2,NVTK,MOEX,1491.0,0,0
2023-12-12,1488.0,1516.0,1470.0,1496.4,572832,857909395.2,NVTK,MOEX,1496.4,0,0
2023-12-13,1493.0,1510.6,1484.2,1507.6,335729,503893539.6,NVTK,MOEX,1507.6,0,0
2023-12-14,1510.0,1514.4,1455.0,1460.2,590831,879175079.2,NVTK,MOEX,1460.2,0,0
2023-12-15,1460.0,1498.2,1456.0,1494.6,750359,1109084602.8,NVTK,MOEX,1494.6,0,0
2023-12-18,1506.0,1509.2,1494.0,1501.0,808735,1214213543.2,NVTK,MOEX,1501.0,0,0
2023-12-19,1501.0,1539.0,1498.2,1531.4,993011,1513526228.2,NVTK,MOEX,1531.4,0,0
2023-12-20,1536.8,1544.8,1515.6,1531.2,778059,1191162282.0,NVTK,MOEX,1531.2,0,0
2023-12-21,1531.2,1532.8,1452.4,1478.2,3143407,4657418862.0,NVTK,MOEX,1478.2,0,0
2023-12-22,1484.8,1508.0,1471.2,1489.6,1200881,1792201042.8,NVTK,MOEX,1489.6,0,0
2023-12-22,1478.94,1478.94,1478.94,1478.94,56400,83412216.0,NVTK,MOEX,1478.94,0,0
2023-12-25,1470.0,1489.8,1455.2,1478.0,871849,1289909636.4,NVTK,MOEX,1478.0,0,0
2023-12-26,1480.0,1496.0,1475.0,1476.2,693636,1028045128.6,NVTK,MOEX,1476.2,0,0
2023-12-27,1476.4,1480.0,1450.0,1450.6,1010547,1479800838.8,NVTK,MOEX,1450.6,0,0
2023-12-28,1450.2,1464.0,1440.4,1448.0,895672,1302165088.8,NVTK,MOEX,1448.0,0,0
2023-12-29,1446.0,1475.0,1445.4,1463.2,532678,780416116.8,NVTK,MOEX,1463.2,0,0
2024-01-03,1466.2,1485.2,1465.0,1484.8,167611,248021294.2,NVTK,MOEX,1484.8,0,0
2024-01-04,1490.0,1497.2,1474.0,1479.6,263650,392117429.6,NVTK,MOEX,1479.6,0,0
2024-01-05,1482.0,1489.2,1476.8,1480.4,223484,330951479.2,NVTK,MOEX,1480.4,0,0
2024-01-08,1480.4,1493.6,1480.4,1487.2,448077,665801553.6,NVTK,MOEX,1487.2,0,0
2024-01-09,1491.0,1498.0,1474.2,1489.0,797657,1185211438.0,NVTK,MOEX,1489.0,0,0
2024-01-10,1489.0,1522.6,1489.0,1513.0,1348467,2034496529.2,NVTK,MOEX,1513.0,0,0
