Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2024-11-18,2540.2,2667.2,2530.0,2640.4,11502908,30068083155.0,TCSG,MOEX,2640.4,0,0
2024-11-19,2655.4,2675.4,2566.0,2591.0,12502963,32845022904.6,TCSG,MOEX,2591.0,0,0
2024-11-20,2605.6,2623.4,2530.0,2540.2,9962949,25785097228.6,TCSG,MOEX,2540.2,0,0
2024-11-21,2550.4,2579.0,2473.2,2576.4,10618712,26907111594.8,TCSG,MOEX,2576.4,0,0
2024-11-22,2582.0,2588.4,2412.2,2444.8,12281914,30759388122.8,TCSG,MOEX,2444.8,0,0
2024-11-25,2386.4,2394.8,2326.0,2339.6,7803585,18423632656.0,TCSG,MOEX,2339.6,0,0
2024-11-26,2340.2,2375.4,2251.2,2274.0,10453756,24201716754.8,TCSG,MOEX,2274.0,0,0
2024-11-27,2280.0,2389.8,2207.4,2384.8,16169268,37076501010.8,TCSG,MOEX,2384.8,0,0
