Price,High,Low,Close,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,
2013-01-02,18.068572948666468,17.80885340747022,17.975370407104492,101550348
2013-01-03,18.19110041130838,17.912491081480265,17.985809326171875,92635272
2013-01-04,18.42820443740271,18.08547360312387,18.341217041015625,110429460
2013-01-07,18.376260559162187,18.15755035142689,18.261188507080078,66161772
2013-01-08,18.29971387556015,18.00470189899084,18.22515296936035,66976956
2013-01-09,18.35066096144637,18.108338510629792,18.344945907592773,80907012
2013-01-10,18.515937126068298,18.23012005831473,18.428451538085938,73354572
2013-01-11,18.45206397545753,18.29971242121977,18.391422271728516,51356592
2013-01-14,18.4463480322233,17.953002706385746,17.975370407104492,114441444
2013-01-15,18.267398792472775,17.698251874990323,18.01712417602539,156950892
2013-01-16,18.002463679973225,17.73727532392922,17.775053024291992,80855064
2013-01-17,17.885651157703816,17.67141334653041,17.678869247436523,88371540
2013-01-18,17.7149060306237,17.43057975162494,17.509614944458008,128942928
2013-01-22,17.530242935679322,17.28617966421186,17.468852996826172,151544304
2013-01-23,18.615352548142994,18.2870353093544,18.4289493560791,236127636
2013-01-24,18.809956623569942,18.40434502411556,18.744840621948242,135172692
2013-01-25,18.850964952142217,18.64641831676558,18.73141860961914,88946964
2013-01-28,18.77938714412157,18.5877651904597,18.658349990844727,65018916
2013-01-29,18.81293890685761,18.554211975197607,18.731666564941406,69814116
2013-01-30,18.91235180226222,18.712529522793577,18.735393524169922,69250680
2013-01-31,18.829592804032018,18.646421235909163,18.781625747680664,65302632
2013-02-01,19.301315547108263,18.841523584440246,19.276460647583008,149694156
2013-02-04,19.14896006203747,18.845745852890442,18.8643856048584,121498380
2013-02-05,19.164864321270954,18.875569339833927,19.031400680541992,74753172
2013-02-06,19.210846438639155,18.851462925760554,19.141504287719727,83040876
2013-02-07,19.356237825137956,19.02543530765089,19.235448837280273,113494392
2013-02-08,19.5515864732292,19.374878230251657,19.519277572631836,120683196
2013-02-11,19.46037268022909,19.230476768464925,19.44595718383789,86625288
2013-02-12,19.58215506576589,19.37015444024325,19.403209686279297,74285640
2013-02-13,19.518778267384295,19.385066480509973,19.456893920898438,47880072
2013-02-14,19.603035590439582,19.330393218694248,19.580171585083008,69342588
2013-02-15,19.71537161012752,19.561527372228007,19.7061767578125,109082808
2013-02-19,20.05686096109398,19.76557696372378,20.053133010864258,117154728
2013-02-20,20.10582007419531,19.67883722477937,19.69548797607422,110457432
2013-02-21,20.018336205990565,19.66466970533216,19.771787643432617,140115744
2013-02-22,19.913951107469295,19.72879246963784,19.87567710876465,82073844
2013-02-25,20.09190495084401,19.646528561126722,19.653488159179688,92063844
2013-02-26,19.7822283622157,19.495168635518134,19.63758087158203,88011900
2013-02-27,20.0009409619263,19.661938077684948,19.877418518066406,80962956
2013-02-28,20.05661133121761,19.908484043300373,19.912710189819336,90541368
2013-03-01,20.06034205765818,19.7871996229617,20.03672981262207,86928984
2013-03-04,20.450543529492954,20.007154253231974,20.417238235473633,110912976
2013-03-05,20.88075962643452,20.60115577099067,20.84223747253418,161602236
2013-03-06,20.976445828039697,20.59892075936788,20.66279411315918,114805080
2013-03-07,20.79302543896315,20.618056137497675,20.693115234375,82025892
2013-03-08,20.75077713279782,20.505471162444756,20.666275024414062,116359524
2013-03-11,20.869572486089204,20.665772214724516,20.748287200927734,63724212
