Date,Open,High,Low,Close,Volume,Value,Symbol,Source,Adj Close,Dividends,Stock Splits
2023-11-20,7225.5,7226.0,7161.0,7194.5,424449,3053218347.0,LKOH,MOEX,7194.5,0,0
2023-11-21,7180.5,7216.0,7137.5,7209.0,482152,3459120952.0,LKOH,MOEX,7209.0,0,0
2023-11-22,7211.0,7299.0,7207.0,7299.0,677597,4927911800.5,LKOH,MOEX,7299.0,0,0
2023-11-23,7301.0,7330.0,7251.5,7258.0,391940,2855176400.5,LKOH,MOEX,7258.0,0,0
2023-11-24,7262.0,7320.0,7255.0,7295.0,418784,3054082635.0,LKOH,MOEX,7295.0,0,0
2023-11-27,7301.0,7345.0,7212.0,7222.5,608767,4427711087.5,LKOH,MOEX,7222.5,0,0
2023-11-28,7223.0,7245.5,7161.0,7238.0,402137,2897395247.0,LKOH,MOEX,7238.0,0,0
2023-11-29,7229.0,7238.0,7186.0,7202.0,303508,2186359454.0,LKOH,MOEX,7202.0,0,0
2023-11-30,7205.5,7285.5,7170.0,7239.0,609305,4412087952.0,LKOH,MOEX,7239.0,0,0
2023-12-01,7239.0,7272.5,7162.5,7175.5,491058,3542441636.5,LKOH,MOEX,7175.5,0,0
2023-12-04,7170.0,7199.5,7110.5,7132.5,669869,4788913271.0,LKOH,MOEX,7132.5,0,0
2023-12-05,7136.0,7250.0,7136.0,7248.5,557087,4011708213.5,LKOH,MOEX,7248.5,0,0
2023-12-06,7269.0,7275.0,7051.5,7138.0,649125,4651215848.0,LKOH,MOEX,7138.0,0,0
2023-12-07,7145.0,7173.0,7071.0,7092.0,477114,3389576439.5,LKOH,MOEX,7092.0,0,0
2023-12-08,7119.0,7173.0,7092.0,7140.0,425360,3037811215.5,LKOH,MOEX,7140.0,0,0
2023-12-11,7183.0,7189.0,6929.0,6977.0,1026520,7226245836.5,LKOH,MOEX,6977.0,0,0
2023-12-12,7000.0,7100.0,6813.0,7014.5,1401749,9760700890.0,LKOH,MOEX,7014.5,0,0
2023-12-13,7000.0,7062.5,6914.0,7043.5,572310,4013886916.0,LKOH,MOEX,7043.5,0,0
2023-12-14,7040.0,7084.5,6850.5,6860.0,1224201,8501875338.5,LKOH,MOEX,6860.0,0,0
2023-12-15,6397.0,6632.0,6381.0,6560.0,2428092,15694991256.0,LKOH,MOEX,6560.0,0,0
2023-12-18,6580.0,6761.5,6526.0,6723.5,1264279,8404694444.0,LKOH,MOEX,6723.5,0,0
2023-12-19,6735.0,6771.0,6690.0,6709.0,679319,4564286692.5,LKOH,MOEX,6709.0,0,0
2023-12-20,6709.5,6849.0,6696.0,6735.0,978865,6625886529.5,LKOH,MOEX,6735.0,0,0
2023-12-21,6730.0,6774.0,6633.5,6702.0,1035385,6938357522.0,LKOH,MOEX,6702.0,0,0
2023-12-22,6711.0,6795.0,6708.5,6732.5,542520,3665596022.5,LKOH,MOEX,6732.5,0,0
2023-12-22,6730.0,6730.0,6730.0,6730.0,996900,6709137000.0,LKOH,MOEX,6730.0,0,0
2023-12-25,6748.0,6784.0,6730.0,6744.0,359571,2429499408.5,LKOH,MOEX,6744.0,0,0
2023-12-26,6750.0,6771.0,6720.0,6771.0,432323,2916986787.5,LKOH,MOEX,6771.0,0,0
2023-12-27,6773.0,6840.0,6761.0,6768.0,497103,3382380613.5,LKOH,MOEX,6768.0,0,0
2023-12-28,6767.5,6802.5,6725.5,6767.0,441134,2981552710.0,LKOH,MOEX,6767.0,0,0
2023-12-29,6784.0,6784.0,6729.0,6739.0,279875,1890360872.5,LKOH,MOEX,6739.0,0,0
2024-01-03,6774.0,6805.0,6745.5,6803.5,202485,1372507245.5,LKOH,MOEX,6803.5,0,0
2024-01-04,6804.5,6811.5,6763.5,6771.0,183411,1244240299.5,LKOH,MOEX,6771.0,0,0
2024-01-05,6771.5,6794.5,6770.5,6780.0,107606,729658423.5,LKOH,MOEX,6780.0,0,0
2024-01-08,6783.0,6804.5,6756.0,6766.5,215760,1463377928.0,LKOH,MOEX,6766.5,0,0
2024-01-09,6780.0,6942.0,6750.5,6931.0,846711,5812051156.0,LKOH,MOEX,6931.0,0,0
2024-01-10,6935.0,7023.0,6923.0,6957.0,712613,4977477890.0,LKOH,MOEX,6957.0,0,0
2024-01-11,6965.0,6995.0,6930.5,6972.5,423594,2950278954.5,LKOH,MOEX,6972.5,0,0
2024-01-12,7005.0,7011.0,6962.0,6965.0,408235,2854221989.0,LKOH,MOEX,6965.0,0,0
2024-01-15,6950.0,6968.5,6874.0,6889.5,569684,3937548742.0,LKOH,MOEX,6889.5,0,0
2024-01-16,6884.5,6885.5,6826.0,6857.0,468624,3211522264.5,LKOH,MOEX,6857.0,0,0
2024-01-17,6859.5,6919.5,6830.0,6910.0,305722,2100605182.0,LKOH,MOEX,6910.0,0,0
2024-01-18,6923.0,6930.0,6846.0,6857.5,279760,1925720882.5,LKOH,MOEX,6857.5,0,0
2024-01-19,6858.0,6883.0,6800.5,6834.5,336358,2301192109.0,LKOH,MOEX,6834.5,0,0
2024-01-22,6830.0,6859.0,6815.5,6840.0,200555,1371760083.0,LKOH,MOEX,6840.0,0,0
2024-01-23,6840.0,6850.0,6782.0,6799.5,355179,2417796849.0,LKOH,MOEX,6799.5,0,0
2024-01-24,6798.0,6828.0,6754.0,6795.0,469629,3189411586.0,LKOH,MOEX,6795.0,0,0
2024-01-25,6810.5,6819.5,6760.5,6809.0,321262,2177749189.5,LKOH,MOEX,6809.0,0,0
2024-01-26,6829.0,6920.0,6801.0,6901.0,676152,4640997419.0,LKOH,MOEX,6901.0,0,0
2024-01-29,6918.0,6975.0,6911.0,6943.0,591425,4110070040.0,LKOH,MOEX,6943.0,0,0
