Price,High,Low,Close,Volume
Ticker,SBER.ME,SBER.ME,SBER.ME,SBER.ME
Date,,,,
2013-01-08,66.50460268787045,64.89769129967974,66.41683197021484,93018220
2013-01-09,66.60588310448094,66.03873454708717,66.32231140136719,60381320
2013-01-10,66.53837920434916,66.14002398880774,66.44385528564453,48070490
2013-01-11,67.35532132209528,66.49109991847405,67.22028350830078,72444300
2013-01-14,68.37483882881062,67.22704559094555,68.185791015625,83905910
2013-01-15,68.19254269270945,67.36882996669009,67.41609191894531,80028950
2013-01-16,67.60514120302189,66.97048142334242,67.49711608886719,67772490
2013-01-17,68.4153547186064,67.20679313398693,68.2938232421875,83900990
2013-01-18,69.91423582796804,68.53012773926996,69.86697387695312,110211790
2013-01-21,70.18430066263254,69.3943487080897,69.9749984741211,77699540
2013-01-22,70.11678733900614,68.91497898363336,69.1040267944336,85613360
2013-01-23,69.98175566639047,68.98924949425252,69.84671783447266,91850150
2013-01-24,69.5901606619056,68.81370979177557,69.19181060791016,81708620
2013-01-25,70.11678598565119,68.82045374989937,69.99525451660156,87251770
2013-01-28,72.32461020848555,70.17080440916497,72.17607116699219,141249630
2013-01-29,73.12131225123223,71.66968779615918,71.93975830078125,131445070
2013-01-30,73.23608703549307,72.20982019729354,72.78372192382812,121194220
2013-01-31,74.02604742913394,71.9870250287328,73.9922866821289,205604760
2013-02-01,74.58643631700846,72.7634643132045,73.16181945800781,114548780
2013-02-04,73.69520809784267,72.37861633300781,72.37861633300781,69878080
2013-02-05,73.02003234721614,72.02077306406746,72.74996185302734,55367010
2013-02-06,74.32311986978968,71.83172734425754,72.10855102539062,102458360
2013-02-07,72.43938433132904,71.0485282068514,71.33209991455078,90215330
2013-02-08,72.66894223041257,70.89999046349412,72.29759979248047,80301560
2013-02-11,73.22257622154713,72.24357654380306,72.27058410644531,58149330
2013-02-12,73.75597191977825,71.9330050304308,73.24284362792969,106179170
2013-02-13,73.82348204853525,72.78371919394026,73.45889282226562,73513340
2013-02-14,75.28187322685879,72.4258859939811,72.66220092773438,140876070
2013-02-15,72.90525503630715,70.92699598032999,70.94725036621094,98640570
2013-02-18,71.8249734069657,70.474626062326,71.72370147705078,64926220
2013-02-19,73.43863113446022,71.52789373717604,73.41162872314453,83376300
2013-02-20,73.5939233874908,72.2435761693717,72.7972183227539,76411420
2013-02-21,72.16932366527988,71.22407935963884,72.06804656982422,7721477
2013-02-22,72.56766589390763,71.53464588633715,71.64942932128906,51473030
2013-02-25,72.24358006599022,71.30508911087111,71.98026275634766,43229580
2013-02-26,71.14980553230501,69.83997200406549,70.31259155273438,94812160
2013-02-27,70.73119889224293,69.44161464105238,69.84671783447266,59551830
2013-02-28,70.75819747262987,69.90072409013871,70.6029052734375,69121850
2013-03-01,70.41385675139182,69.27281169650617,69.60364532470703,60711070
2013-03-04,69.8332135386692,68.96899205727951,69.47537231445312,52460180
2013-03-05,70.51513643115678,69.73868571689253,70.15729522705078,83270600
2013-03-06,71.49413869335893,70.41386186384412,71.11604309082031,65084620
2013-03-07,71.54140298763468,70.83247370964764,71.1025390625,46280380
2013-03-11,72.5676639992473,71.64267427197821,72.09503936767578,80720440
