Price,High,Low,Close,Volume
Ticker,MSFT,MSFT,MSFT,MSFT
Date,,,,
2013-01-02,22.373259372247368,21.905300881689357,22.284509658813477,52899300
2013-01-03,22.30871648195618,21.91337231845128,21.985986709594727,48294400
2013-01-04,22.05859636158338,21.566432602659955,21.574501037597656,52521100
2013-01-07,21.68745242079776,21.49381463137682,21.534156799316406,37110400
2013-01-08,21.614841047248426,21.348587337663304,21.421201705932617,44703100
2013-01-09,21.58256742334352,21.42927025187549,21.542226791381836,49047900
2013-01-10,21.768146095726184,21.211437750029653,21.348596572875977,71431300
2013-01-11,21.727798518974602,21.20336255206814,21.64711570739746,55512100
2013-01-14,21.848829083129104,21.590645233108212,21.695531845092773,48324400
2013-01-15,22.018261868235985,21.647121452047628,21.95371437072754,48244500
2013-01-16,21.96985263009728,21.792351617450407,21.816556930541992,41077400
2013-01-17,22.16348769966929,21.83268949063668,21.985986709594727,51685900
2013-01-18,22.018260456279343,21.816554156191316,21.985986709594727,52167700
2013-01-22,22.147350510907454,21.784278585588915,21.905302047729492,58650600
2013-01-23,22.30064725170052,21.945645284184398,22.276443481445312,50387700
2013-01-24,22.647573481984722,22.163478260171804,22.292570114135742,101739300
2013-01-25,22.776668913436733,22.098935804227654,22.494279861450195,81847700
2013-01-28,22.77667363970112,22.39746637279548,22.518489837646484,56056500
2013-01-29,22.695986917152343,22.268370645559795,22.59916877746582,49242600
2013-01-30,22.744403941344018,22.397468841999007,22.470083236694336,43580500
2013-01-31,22.566894320030944,22.107004323916197,22.14734649658203,50530000
2013-02-01,22.631447991468907,22.228035360327592,22.534629821777344,55565900
2013-02-04,22.607240745235835,22.12314535446074,22.1392822265625,50540000
2013-02-05,22.31677495678887,22.074728120287713,22.18768310546875,35410400
2013-02-06,22.219967037062187,21.98598698733378,22.05860137939453,41889600
2013-02-07,22.098934939958074,21.86495650413468,22.01018524169922,38028300
2013-02-08,22.357126889749374,22.034397098237264,22.22803497314453,33318500
2013-02-11,22.52655849269388,22.187691864480488,22.4781494140625,32247700
2013-02-12,22.59109953657858,22.38939329071627,22.494279861450195,35990900
2013-02-13,22.67985088432435,22.49427996769319,22.615304946899414,41715600
2013-02-14,22.639510270259528,22.48621462013187,22.623374938964844,32663200
2013-02-15,22.720192221522268,22.494280664092738,22.59916877746582,49650900
2013-02-19,22.851361907173636,22.615444647005287,22.81882095336914,38781400
2013-02-20,22.940846630693446,22.639849032238185,22.67238998413086,44110200
2013-02-21,22.56663274257858,22.15174492863598,22.363256454467773,49078500
2013-02-22,22.58289909362793,22.35511713395477,22.58289909362793,31425900
2013-02-25,22.818812773684677,22.2656307220459,22.2656307220459,48011800
2013-02-26,22.45273648443714,22.241225015441053,22.2656307220459,49923300
2013-02-27,22.77814736706668,22.233098778717775,22.623580932617188,36394700
